Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
Male,21,Engineering,66.06,98.62,40.55,67.51,78.41,2.48,97.68,94.09,F,20.70,No,Yes,High School,Medium,7,7
Male,19,CS,75.43,85.00,51.80,90.24,53.72,8.27,74.13,98.73,B,12.50,No,Yes,PhD,Low,2,6
Male,19,Business,99.12,57.07,46.57,82.34,87.22,0.61,58.45,98.38,A,14.80,No,Yes,None,Medium,10,8
Male,19,Business,57.84,65.20,59.14,89.30,84.76,9.53,71.08,57.38,C,14.40,Yes,Yes,Bachelor's,Low,2,9
Female,24,CS,77.04,63.06,89.55,74.81,90.12,0.47,93.85,77.48,F,12.90,No,Yes,N/A,Medium,10,8
Female,20,Business,54.94,91.13,79.09,62.89,94.22,2.41,53.51,79.25,C,20.70,No,Yes,High School,High,3,9
Female,19,CS,65.92,86.28,50.14,61.40,87.90,4.64,56.39,59.75,F,10.00,Yes,Yes,Bachelor's,Medium,10,6
Male,23,CS,75.43,75.34,87.33,50.45,92.22,7.56,94.78,77.34,A,12.30,No,Yes,Master's,Low,4,6
Female,23,CS,97.33,56.50,70.25,89.05,67.28,9.51,70.77,82.33,A,7.10,No,Yes,None,Medium,5,5
Female,24,Engineering,69.56,96.28,70.76,92.36,67.17,4.28,54.17,66.45,F,14.40,Yes,Yes,Master's,High,3,8
Female,24,Engineering,53.25,79.20,61.73,88.41,97.22,7.57,56.96,65.78,D,6.60,No,No,Bachelor's,Medium,4,6
Female,18,CS,69.41,98.23,91.88,53.72,95.73,7.27,94.12,53.01,C,5.40,No,Yes,None,Medium,7,8
Male,22,CS,75.43,74.81,59.10,88.11,77.42,5.71,74.51,97.84,C,21.10,No,Yes,Master's,Medium,6,7
Male,19,Business,61.50,89.27,45.65,52.29,68.33,6.91,58.15,90.18,A,9.10,No,Yes,Bachelor's,High,2,4
Female,23,Mathematics,80.90,88.79,58.16,55.28,93.30,0.38,94.70,87.97,F,5.90,No,Yes,None,Low,7,8
Male,24,Business,53.37,60.24,82.92,72.02,66.17,4.42,92.26,51.09,D,6.70,No,Yes,High School,High,2,6
Female,23,CS,73.24,97.84,79.45,73.81,57.68,7.86,51.15,81.22,C,10.00,Yes,Yes,None,High,3,5
Female,23,CS,80.47,41.32,51.28,90.81,81.97,4.74,79.05,59.03,B,23.00,No,Yes,Bachelor's,Medium,1,9
Female,24,CS,71.09,86.12,46.71,83.98,52.13,8.74,62.22,83.09,D,5.30,No,Yes,N/A,Medium,6,8
Male,20,CS,50.96,97.93,79.65,74.81,68.96,8.34,76.66,81.06,C,23.20,Yes,Yes,N/A,High,10,7
Female,24,Engineering,75.43,60.33,80.58,61.31,90.38,8.63,63.96,92.60,A,19.90,No,Yes,N/A,High,4,9
Male,24,Engineering,68.36,78.89,61.97,64.28,64.76,1.30,65.79,62.77,C,17.80,Yes,Yes,Master's,High,9,8
Male,22,Business,75.43,73.73,90.57,56.18,96.57,2.44,80.09,51.37,D,27.70,Yes,Yes,High School,Medium,4,5
Female,24,Engineering,66.28,85.69,98.69,74.81,97.79,0.30,76.94,95.71,F,25.70,Yes,Yes,None,Low,10,9
Male,21,CS,73.75,91.97,52.34,86.43,90.79,9.83,69.76,95.43,B,15.50,Yes,Yes,Bachelor's,Low,6,7
Male,24,CS,69.42,76.18,74.62,62.07,99.38,2.36,55.38,72.79,C,5.20,No,Yes,High School,High,8,6
Female,23,Engineering,67.13,88.95,40.32,91.77,76.54,3.67,98.47,53.90,A,22.80,No,Yes,PhD,Medium,5,8
Male,19,CS,51.09,58.74,82.78,73.48,78.46,2.75,58.73,74.90,F,6.20,Yes,Yes,PhD,Low,3,4
Male,23,CS,68.00,53.72,64.86,66.15,91.81,0.40,81.66,76.20,B,12.00,No,Yes,Bachelor's,Low,9,7
Female,22,CS,94.47,65.84,51.60,70.62,74.64,2.61,54.14,91.09,A,17.30,Yes,Yes,N/A,Low,3,5
Female,21,CS,84.52,80.66,85.13,74.81,70.34,0.98,84.42,85.86,A,7.50,Yes,Yes,High School,Low,9,4
Male,24,CS,57.27,51.23,88.64,75.84,80.74,3.94,54.74,53.54,D,22.00,No,Yes,High School,High,2,6
Female,20,Business,79.56,80.82,46.67,50.36,82.88,9.67,61.48,85.27,C,13.00,No,Yes,High School,High,8,6
Female,18,Business,94.61,63.65,42.46,96.12,87.54,6.98,82.35,56.79,A,14.00,No,Yes,Bachelor's,High,6,7
Male,24,CS,85.00,87.73,60.04,53.30,83.41,7.07,64.15,54.47,F,21.20,No,Yes,PhD,Low,9,7
Male,19,CS,57.43,42.21,77.56,96.93,87.29,4.53,76.64,69.93,D,15.00,No,Yes,PhD,Low,5,7
Female,18,Business,75.43,80.08,87.61,74.81,83.73,8.11,56.23,53.87,C,10.60,No,Yes,Master's,Low,4,5
Male,20,CS,65.08,78.99,72.76,74.81,74.02,9.08,60.12,91.46,F,9.40,Yes,Yes,N/A,Low,2,8
Female,22,CS,72.70,96.46,74.84,76.73,56.75,9.62,86.69,73.16,D,23.10,Yes,Yes,None,Low,1,8
Female,22,CS,76.31,82.80,87.99,75.29,89.27,0.99,51.76,79.35,C,23.80,Yes,Yes,PhD,High,4,5
Male,20,CS,75.43,87.78,71.73,53.64,51.54,8.80,55.59,78.84,C,9.90,Yes,Yes,PhD,High,8,6
Male,23,Business,96.58,94.28,76.67,61.94,99.63,2.25,60.75,98.91,A,13.00,No,Yes,High School,Low,10,6
Female,20,Business,96.48,80.50,70.97,88.88,91.42,3.97,51.01,95.79,B,28.90,Yes,Yes,N/A,Low,9,9
Female,24,CS,50.40,57.41,92.83,74.81,83.55,3.45,54.77,92.46,D,29.60,No,Yes,PhD,Low,1,9
Female,19,CS,96.09,92.19,54.13,76.46,98.33,6.75,64.07,69.16,A,19.60,No,Yes,Master's,Medium,2,4
Female,21,CS,52.72,84.85,55.84,67.67,80.62,5.98,54.65,57.25,F,23.90,No,Yes,N/A,Medium,3,9
Male,24,CS,63.29,65.47,47.68,53.00,52.82,1.09,93.31,79.59,B,23.70,Yes,Yes,PhD,Medium,8,4
Female,24,Mathematics,75.75,82.63,89.17,84.11,77.97,7.83,53.30,72.02,C,14.90,No,Yes,None,High,9,7
Male,24,Engineering,74.00,92.06,64.71,63.92,63.86,4.40,93.05,61.28,F,6.20,No,Yes,N/A,Low,3,6
Male,18,Engineering,80.24,98.54,60.87,52.75,68.47,0.02,91.14,54.88,F,23.50,No,Yes,N/A,Low,4,6
Female,18,Business,73.97,97.14,98.88,83.29,72.98,4.15,55.04,71.80,A,8.40,No,No,N/A,Low,8,7
Male,22,Business,96.72,59.52,95.61,74.29,88.73,5.16,51.26,82.54,A,12.30,No,Yes,PhD,Low,3,7
Male,24,Business,62.03,65.30,98.32,74.81,75.15,0.69,52.50,81.27,C,12.90,No,Yes,High School,Medium,6,5
Female,23,CS,63.70,46.57,48.54,55.55,73.73,1.51,79.52,88.70,D,13.70,No,Yes,Master's,Low,1,9
Male,22,CS,96.04,54.85,93.48,84.96,65.10,9.94,83.52,73.33,A,16.60,No,Yes,High School,Medium,7,4
Male,19,Engineering,75.43,92.95,59.72,53.18,76.99,8.71,81.03,66.08,F,17.50,No,Yes,Bachelor's,Medium,5,6
Female,20,CS,80.48,61.65,40.76,93.30,62.42,1.33,77.07,76.94,D,17.10,Yes,Yes,Bachelor's,Medium,4,8
Female,18,Mathematics,84.09,77.23,63.48,65.57,63.05,5.80,58.73,98.75,A,9.10,No,Yes,Master's,Low,8,8
Female,24,Engineering,75.28,79.96,70.55,54.43,87.86,3.79,92.05,52.25,D,21.20,No,Yes,High School,Medium,8,8
Female,19,Mathematics,84.71,86.91,46.49,74.81,67.13,5.44,66.38,76.43,F,24.80,No,Yes,None,Low,7,6
Female,22,CS,58.64,50.97,72.26,76.22,52.57,4.71,99.31,66.46,C,16.50,No,Yes,N/A,High,1,7
Female,22,Business,92.63,58.29,89.17,65.33,67.18,0.48,69.24,55.27,A,26.00,Yes,Yes,Master's,Medium,10,8
Female,18,CS,57.00,66.90,62.66,70.30,81.93,3.15,63.15,71.73,C,16.10,Yes,Yes,N/A,Low,6,7
Male,22,Mathematics,70.04,61.89,61.16,51.07,90.70,1.26,94.71,82.06,D,19.20,Yes,Yes,High School,Medium,3,7
Male,23,CS,53.76,98.97,60.33,74.81,98.10,4.89,78.37,76.41,C,6.70,No,Yes,N/A,Low,8,7
Female,22,Engineering,77.26,90.10,95.39,68.29,87.31,9.07,86.09,51.46,B,8.70,No,Yes,PhD,Low,10,4
Male,21,Business,83.49,68.78,42.93,85.70,71.44,9.96,70.42,78.96,A,24.20,Yes,Yes,N/A,Low,3,5
Male,20,Engineering,97.06,92.76,66.70,81.41,64.96,9.44,94.35,61.60,B,11.20,No,Yes,None,Low,8,8
Female,22,Engineering,86.97,60.86,55.88,82.56,56.48,9.86,95.89,67.07,A,7.30,No,Yes,None,High,5,5
Male,21,Mathematics,75.43,87.15,93.63,89.64,81.38,0.15,71.84,65.61,D,19.20,Yes,Yes,N/A,Medium,5,6
Female,19,Engineering,96.63,53.42,45.76,81.56,75.49,7.29,62.04,92.93,B,7.40,No,Yes,Master's,Low,8,7
Male,22,Engineering,75.43,86.34,64.69,70.94,83.89,2.73,82.38,52.38,C,22.10,No,Yes,PhD,Medium,3,7
Female,23,CS,78.06,67.39,64.41,69.50,61.86,8.66,97.73,67.40,B,22.20,No,Yes,High School,Medium,4,5
Male,19,Business,79.80,46.45,93.30,74.81,66.18,8.14,81.12,69.74,B,16.30,No,Yes,Bachelor's,Low,1,7
Male,24,Engineering,70.50,56.40,52.93,88.97,64.60,4.24,97.71,80.94,C,22.10,No,Yes,N/A,Medium,9,7
Male,22,Engineering,91.92,64.14,78.69,88.06,89.88,4.73,67.19,89.45,A,25.00,No,Yes,PhD,Medium,3,8
Female,18,CS,59.26,84.96,48.06,62.31,58.56,2.65,95.75,86.38,F,9.90,No,Yes,PhD,Low,8,7
Male,21,Engineering,77.74,44.38,97.24,93.13,80.42,2.89,55.63,87.63,C,21.20,No,Yes,PhD,Medium,1,6
Male,21,CS,86.11,79.57,75.58,79.45,52.57,9.81,67.94,59.62,A,22.30,No,Yes,PhD,High,1,7
Female,18,CS,95.20,82.96,77.58,73.93,77.48,8.89,74.72,95.59,A,9.90,Yes,Yes,Master's,Low,6,5
Female,20,Engineering,94.20,79.24,66.03,74.81,53.20,1.92,82.66,70.71,A,23.20,No,Yes,None,Medium,6,7
Male,24,CS,75.44,85.64,60.54,69.14,58.79,2.76,64.71,50.56,D,23.00,No,Yes,None,High,7,9
Male,23,CS,75.43,50.69,52.76,82.03,55.65,1.09,96.21,83.40,C,8.90,No,Yes,High School,High,1,7
Male,21,Engineering,69.71,75.23,76.24,54.49,67.34,9.89,95.17,80.20,C,12.90,Yes,Yes,High School,Medium,3,6
Male,19,CS,73.41,96.47,97.27,72.98,67.19,9.07,89.97,56.30,F,28.50,Yes,Yes,PhD,Medium,4,6
Female,23,CS,95.31,76.65,61.59,99.67,91.32,5.52,55.72,97.99,B,6.80,Yes,Yes,PhD,Medium,9,9
Male,21,CS,96.54,76.68,92.99,85.83,61.28,6.93,53.91,78.08,A,10.70,No,Yes,Bachelor's,High,8,8
Male,24,Engineering,94.77,84.19,48.93,77.34,54.32,7.48,74.91,73.46,A,19.50,No,Yes,None,Low,4,8
Female,20,Engineering,56.92,59.99,96.17,76.65,80.18,2.04,88.27,69.91,D,29.20,No,Yes,PhD,Medium,10,7
Male,24,Business,75.43,82.03,61.03,74.81,84.37,9.35,56.16,60.49,F,11.40,Yes,Yes,High School,Low,7,6
Male,19,CS,97.42,94.97,62.78,97.87,64.74,5.27,82.07,97.64,A,25.40,No,Yes,High School,Low,9,5
Male,24,CS,68.06,40.65,67.77,96.41,80.14,0.92,76.39,85.11,B,14.20,No,Yes,N/A,Medium,10,9
Female,23,CS,75.93,92.21,83.09,84.12,88.80,3.97,86.30,78.38,C,13.80,No,Yes,Bachelor's,Medium,10,5
Female,19,Engineering,88.95,53.12,83.18,54.95,67.38,6.02,71.77,81.56,A,29.90,No,Yes,PhD,Low,8,5
Male,18,Mathematics,78.10,67.36,68.78,60.39,76.27,3.53,84.66,92.02,F,25.40,No,Yes,PhD,Low,5,8
Male,22,CS,99.67,91.14,71.39,59.20,57.33,6.99,57.98,81.79,A,11.20,No,No,PhD,Low,9,6
Female,18,CS,72.79,89.43,41.80,75.98,51.18,8.82,60.73,55.73,C,9.60,No,Yes,N/A,High,5,7
Male,23,CS,85.70,93.52,58.26,60.39,99.07,7.72,95.17,84.86,A,7.10,No,No,N/A,Medium,3,8
Male,22,Engineering,89.63,96.43,60.76,74.81,64.99,6.43,66.47,78.24,A,17.10,No,Yes,N/A,Medium,6,7
Female,18,Engineering,74.71,66.83,73.52,77.26,63.95,5.12,99.28,98.32,D,13.40,Yes,Yes,PhD,High,3,7
Female,22,Engineering,92.85,79.38,73.50,50.88,98.66,2.54,52.31,86.69,B,14.50,No,Yes,PhD,Medium,2,4
Female,21,Business,77.31,63.43,82.59,87.20,86.41,4.55,74.79,67.20,B,15.80,No,Yes,High School,High,7,6
Male,24,Engineering,70.58,61.04,83.02,59.44,79.26,2.93,66.25,56.77,F,29.80,No,Yes,PhD,High,3,6
Male,19,CS,55.39,65.90,54.11,91.24,84.97,9.34,99.80,74.11,C,5.10,No,Yes,N/A,Low,5,8
Male,22,CS,69.67,84.58,86.21,67.75,85.50,9.07,99.50,83.97,C,15.70,No,Yes,Bachelor's,Medium,9,6
Male,21,Engineering,86.70,70.09,41.18,66.93,88.17,1.56,61.76,58.86,A,6.60,No,No,High School,Medium,4,7
Female,24,Engineering,96.06,88.84,82.97,50.59,53.36,8.23,63.36,82.47,B,21.80,No,Yes,N/A,Medium,9,8
Male,24,Engineering,62.58,84.71,46.12,99.39,70.64,7.03,87.48,91.28,B,6.30,No,Yes,Master's,Medium,6,6
Male,20,Engineering,67.76,41.23,83.78,80.60,64.76,9.75,94.48,57.85,F,24.20,No,Yes,High School,Low,3,5
Female,18,Engineering,75.43,77.81,71.63,71.14,53.53,4.63,83.18,85.29,A,26.70,No,Yes,High School,High,1,9
Female,20,Business,84.54,66.19,66.24,54.83,70.63,7.22,93.24,53.41,A,29.30,Yes,Yes,Master's,Low,8,9
Male,23,Engineering,98.01,67.40,81.44,84.96,80.81,5.18,53.16,50.40,A,8.00,No,Yes,Master's,Medium,10,9
Female,21,Business,82.05,89.10,42.18,64.14,58.92,0.69,82.03,51.63,A,29.50,Yes,Yes,None,Low,4,5
Female,20,CS,80.85,72.86,53.41,99.41,65.25,0.47,85.01,81.58,D,15.30,No,Yes,High School,Medium,6,6
Male,20,Engineering,77.67,93.14,76.99,97.53,81.96,1.22,59.52,98.67,C,20.80,Yes,Yes,Bachelor's,High,2,9
Male,24,Mathematics,54.42,82.77,90.83,86.76,78.97,2.96,88.90,88.57,D,5.00,No,Yes,PhD,Medium,4,5
Male,21,CS,75.43,73.17,62.87,98.55,93.44,2.59,97.21,62.72,C,14.30,No,Yes,Master's,Medium,8,7
Male,24,Business,80.10,85.27,55.53,55.28,89.56,7.28,94.90,53.58,C,13.80,No,Yes,None,Low,2,6
Female,19,Business,83.07,42.30,71.12,74.81,98.28,7.16,62.25,80.83,C,17.60,No,Yes,Master's,Medium,6,8
Female,22,CS,94.94,41.63,77.34,62.66,79.86,9.71,66.20,50.16,A,8.30,No,Yes,N/A,High,2,8
Male,23,Engineering,89.20,45.00,65.21,53.60,84.92,3.10,74.98,89.63,A,22.30,No,Yes,PhD,High,8,6
Male,23,CS,89.05,66.25,92.60,98.61,93.03,9.38,57.92,62.16,A,19.90,No,Yes,PhD,Medium,3,5
Female,18,Mathematics,75.43,54.13,71.41,53.00,92.00,6.13,97.70,64.96,D,10.30,Yes,Yes,Master's,Medium,9,8
Male,24,Business,99.50,99.06,42.15,92.83,85.94,4.95,58.08,67.20,A,29.60,Yes,Yes,PhD,Low,6,4
Male,22,CS,79.06,72.54,53.38,88.41,75.01,6.68,88.07,88.18,A,5.10,No,Yes,PhD,Medium,3,4
Male,18,CS,55.44,79.74,67.04,68.79,63.66,7.03,67.07,63.29,D,13.40,Yes,Yes,Bachelor's,Medium,2,8
Male,23,Engineering,75.43,56.73,81.86,50.94,93.86,1.72,78.69,64.22,B,11.50,No,No,Master's,Low,8,8
Female,22,CS,89.38,59.31,53.19,50.30,88.83,7.52,52.36,77.05,B,19.00,No,Yes,N/A,High,4,7
Male,20,CS,51.39,60.13,98.58,60.20,91.90,7.25,60.25,73.15,C,27.20,Yes,Yes,N/A,Medium,8,7
Female,19,Engineering,52.84,81.92,59.11,74.69,57.04,9.98,72.22,97.78,D,21.40,Yes,Yes,N/A,Medium,7,9
Male,20,CS,53.36,68.42,71.95,72.90,65.74,9.12,83.86,63.17,F,6.20,No,Yes,Bachelor's,Low,2,4
Male,19,CS,86.55,71.06,41.14,79.26,71.24,6.85,88.88,54.59,A,26.60,Yes,Yes,Master's,Low,7,5
Female,24,Business,75.43,75.52,93.09,74.81,91.92,7.12,51.51,77.05,C,11.60,Yes,Yes,PhD,Medium,4,8
Male,21,Mathematics,68.44,86.13,87.33,68.87,94.64,9.46,57.62,59.23,C,7.80,No,Yes,Bachelor's,Medium,6,5
Female,18,Business,55.28,45.42,51.73,74.81,64.24,9.67,86.49,70.68,D,15.80,No,Yes,N/A,Medium,8,5
Male,18,Business,75.43,86.61,95.99,90.00,84.32,8.27,90.65,59.36,A,27.50,No,Yes,Master's,Low,9,6
Male,21,CS,66.05,73.79,58.95,66.63,53.89,7.67,61.83,94.05,C,5.90,No,Yes,Bachelor's,Medium,4,8
Male,22,CS,63.27,80.15,81.53,64.34,70.48,1.11,61.48,66.37,B,20.60,No,Yes,Bachelor's,Medium,3,5
Male,21,CS,82.62,59.65,89.14,88.22,74.33,8.30,54.40,88.74,F,13.30,No,Yes,Bachelor's,Medium,2,6
Male,24,Business,77.95,64.56,84.45,96.71,88.28,2.53,57.51,97.43,A,20.60,No,Yes,High School,Medium,4,7
Female,23,Mathematics,68.12,53.87,95.05,95.75,94.60,5.64,50.40,97.03,B,11.70,No,Yes,N/A,Medium,2,5
Female,21,Business,82.07,98.76,91.86,56.87,66.86,4.05,79.49,76.24,F,29.20,No,Yes,Bachelor's,High,3,6
Male,19,Business,75.43,69.82,99.68,74.81,76.39,3.46,95.19,99.16,F,7.80,No,Yes,High School,High,1,8
Male,23,Engineering,89.74,99.76,50.96,54.64,82.37,3.10,57.48,82.80,A,8.90,No,Yes,None,Medium,7,8
Female,21,CS,61.47,69.39,58.29,98.05,66.43,8.55,87.57,56.42,C,6.10,No,Yes,High School,Low,6,7
Female,18,Engineering,57.94,53.19,78.17,60.76,99.28,7.69,78.68,94.42,F,24.90,No,Yes,PhD,Low,1,5
Male,20,CS,89.12,70.45,83.98,59.87,93.79,5.23,97.00,73.43,A,7.30,No,Yes,None,Medium,9,4
Male,19,CS,85.39,42.38,72.08,94.44,64.82,6.64,89.91,57.63,B,11.90,Yes,Yes,Bachelor's,Low,6,4
Female,24,Engineering,59.13,94.29,44.44,98.39,75.40,9.85,92.64,89.57,C,10.10,No,Yes,Bachelor's,Medium,5,8
Male,19,Engineering,55.81,89.11,90.50,84.88,61.54,3.98,81.96,81.22,C,13.80,No,Yes,Bachelor's,Medium,1,8
Female,22,Engineering,91.92,83.55,97.65,56.05,75.73,5.51,90.57,94.11,A,24.10,Yes,Yes,N/A,Medium,10,8
Male,20,Engineering,88.83,76.59,64.33,74.29,84.17,5.34,67.54,91.37,A,28.80,No,Yes,None,Low,5,6
Female,19,CS,66.36,74.79,53.49,90.83,54.28,9.36,60.45,66.01,A,27.00,Yes,No,N/A,Low,2,4
Female,21,Engineering,75.43,99.80,41.16,78.62,93.51,3.52,95.63,62.82,A,26.00,No,Yes,High School,High,7,8
Male,19,Engineering,56.21,56.68,54.24,56.63,79.69,9.86,86.72,86.69,F,15.40,No,Yes,Master's,Low,6,9
Female,19,CS,75.43,86.78,82.00,58.59,99.48,3.05,54.54,78.67,D,25.00,No,Yes,High School,High,4,6
Male,19,Business,50.94,74.88,94.70,93.21,51.28,1.09,93.35,53.49,F,24.40,No,Yes,High School,Medium,3,8
Male,22,Engineering,69.58,98.55,45.61,76.35,91.57,1.91,67.45,59.08,F,11.20,No,Yes,N/A,Low,5,8
Male,19,Engineering,53.74,89.67,73.20,85.29,89.60,4.26,64.91,57.57,F,11.60,Yes,Yes,N/A,Low,3,8
Male,19,Business,73.76,99.91,81.73,68.65,56.64,6.50,81.17,79.49,A,17.50,No,No,High School,Medium,9,4
Female,22,Business,71.08,75.30,56.58,76.62,66.77,5.17,78.43,54.29,F,29.10,Yes,Yes,None,Low,6,9
Male,23,Business,75.43,52.27,74.19,74.81,94.24,3.76,76.91,60.39,C,7.70,Yes,Yes,N/A,High,10,8
Male,20,CS,52.27,70.22,82.91,66.49,75.92,5.62,62.74,77.27,C,29.70,No,Yes,PhD,Medium,2,8
Male,24,CS,68.08,82.67,90.26,83.74,70.06,8.39,97.99,56.65,F,9.00,No,No,Master's,Medium,7,9
Male,23,CS,87.82,86.46,67.15,58.63,95.27,8.39,97.51,62.41,A,17.10,No,Yes,High School,High,8,7
Female,18,CS,68.45,40.03,84.87,56.09,54.67,7.26,50.21,95.34,C,12.60,Yes,Yes,Bachelor's,Low,9,4
Male,22,Mathematics,85.76,70.30,58.11,74.81,73.66,9.52,66.89,84.86,B,15.50,No,Yes,N/A,High,4,8
Female,22,Engineering,68.47,54.11,52.78,92.21,82.62,5.90,52.28,65.34,D,28.90,Yes,Yes,N/A,High,1,5
Female,19,CS,75.43,92.49,51.24,83.42,80.43,0.08,92.51,93.87,D,20.80,No,Yes,Master's,Medium,8,8
Female,19,CS,78.19,49.17,61.53,74.81,63.21,2.91,94.33,62.51,A,12.40,No,Yes,N/A,Low,10,6
Male,24,CS,97.53,79.99,42.15,62.03,78.17,3.28,75.91,79.45,A,20.70,No,Yes,High School,Medium,1,4
Male,18,Engineering,55.44,55.96,56.98,95.56,85.43,5.47,91.98,68.42,D,16.30,No,Yes,High School,High,5,6
Male,19,Business,51.65,61.39,79.13,64.44,79.24,9.05,85.17,87.61,D,28.60,No,Yes,N/A,Low,2,8
Male,21,Business,80.40,96.43,78.88,90.94,84.22,8.38,74.98,68.58,B,13.80,Yes,Yes,High School,Low,8,4
Female,19,Mathematics,97.45,54.43,44.41,64.30,62.80,2.32,68.19,62.44,A,19.60,No,Yes,PhD,Medium,5,4
Female,19,CS,99.49,45.70,57.24,96.97,91.64,5.19,63.31,80.39,B,26.20,No,No,High School,Medium,6,6
Male,21,CS,74.21,44.16,74.17,95.72,72.48,6.59,62.97,87.27,A,29.00,Yes,Yes,High School,Low,7,4
Male,18,CS,73.40,70.28,59.11,52.16,99.36,9.88,78.10,76.82,D,25.00,Yes,Yes,Bachelor's,High,4,9
Male,21,CS,82.25,78.50,65.08,88.52,51.16,0.31,58.34,85.81,B,28.40,No,Yes,Master's,High,5,8
Male,22,Mathematics,75.43,59.64,82.77,74.81,69.02,4.64,58.74,71.10,D,16.60,No,Yes,N/A,Low,9,7
Male,21,Engineering,81.70,81.42,40.56,60.76,59.02,9.88,50.52,89.77,C,24.10,No,Yes,PhD,High,6,4
Male,20,Business,93.70,43.66,56.58,72.99,77.78,9.77,80.67,79.25,B,7.40,Yes,Yes,Master's,Low,8,7
Male,22,Engineering,87.32,91.44,48.54,78.82,62.16,3.31,99.72,59.81,A,19.80,No,Yes,N/A,Low,4,7
Female,19,CS,74.84,88.99,47.66,74.81,86.87,0.00,94.46,94.54,B,5.30,No,Yes,Master's,Low,4,7
Female,24,CS,73.09,99.13,97.54,78.77,94.09,5.87,85.28,91.84,F,11.50,Yes,Yes,N/A,Medium,8,9
Female,22,Engineering,81.98,96.19,62.59,58.53,60.54,8.67,89.28,98.20,F,21.60,No,Yes,Bachelor's,High,3,8
Female,18,Business,72.79,61.37,71.63,51.12,58.03,3.24,70.84,78.45,A,9.30,No,Yes,Bachelor's,Low,5,6
Male,18,CS,72.89,63.96,84.03,78.56,93.77,9.34,64.90,83.79,B,10.00,No,Yes,None,Medium,3,8
Male,21,Business,50.82,84.76,42.85,75.87,68.06,3.33,68.43,93.18,F,6.50,No,No,PhD,Low,1,6
Male,22,Business,58.70,48.04,54.46,74.81,71.73,6.10,54.07,52.63,D,23.70,No,Yes,High School,Low,3,9
Male,19,Engineering,74.43,58.84,89.93,82.49,61.05,7.22,81.69,95.61,B,16.20,No,Yes,High School,High,6,7
Male,18,Business,91.13,47.11,91.72,94.87,71.27,3.45,58.74,63.56,A,27.20,No,Yes,None,Medium,6,7
Female,23,Engineering,63.94,67.29,62.38,72.97,61.57,3.52,88.14,52.85,A,14.10,No,Yes,PhD,Medium,7,7
Male,19,Engineering,76.13,73.12,62.49,50.42,83.30,4.70,59.50,61.88,A,15.90,Yes,Yes,N/A,Medium,3,6
Female,23,Business,67.25,52.67,85.41,74.81,74.94,8.35,61.41,79.32,F,17.40,No,Yes,N/A,Low,9,5
Male,20,Mathematics,55.24,41.60,57.70,83.76,89.40,1.01,97.87,52.39,D,26.50,Yes,No,N/A,Low,10,5
Female,23,CS,97.91,83.16,47.03,76.07,65.64,6.31,55.27,50.04,A,12.30,Yes,Yes,N/A,Low,9,6
Male,18,Engineering,92.73,41.20,55.45,84.47,75.28,6.77,74.94,81.97,A,6.30,No,No,Master's,High,2,5
Female,21,CS,53.92,98.40,63.24,74.81,62.98,5.58,53.13,72.67,C,20.70,No,Yes,N/A,Medium,8,8
Male,20,CS,85.99,53.30,43.13,57.44,96.72,9.36,54.52,92.22,B,25.60,Yes,No,PhD,Medium,2,4
Male,22,Engineering,67.38,79.83,68.72,83.23,76.10,6.02,81.68,62.88,F,18.90,Yes,Yes,None,Medium,2,9
Male,19,Mathematics,99.74,66.09,84.40,62.26,58.67,6.35,81.54,64.04,A,13.00,No,Yes,N/A,High,6,5
Male,18,CS,65.12,43.58,70.82,72.82,63.64,6.00,59.66,53.88,D,20.80,No,Yes,None,Low,8,4
Female,20,CS,75.43,68.33,44.31,74.58,54.15,7.22,93.62,76.93,F,29.80,No,Yes,N/A,Low,1,9
Male,20,CS,78.39,71.01,66.41,73.86,51.39,1.35,85.11,68.30,A,19.40,Yes,Yes,High School,Low,8,9
Female,18,Engineering,91.76,91.28,82.53,79.92,76.30,8.94,65.03,66.99,B,12.90,No,No,Master's,High,8,5
Male,22,CS,59.63,83.94,43.49,51.47,66.86,0.42,62.42,72.88,C,11.10,No,Yes,PhD,Medium,4,5
Female,22,CS,85.47,44.76,43.59,99.48,98.19,6.41,87.71,92.48,A,30.00,No,Yes,None,Medium,6,5
Male,21,Business,53.07,52.55,62.24,85.82,58.57,6.15,86.68,55.26,D,26.30,No,Yes,Master's,Low,2,7
Male,24,CS,95.95,58.71,51.70,71.27,89.70,2.08,57.44,76.18,A,12.00,No,Yes,PhD,Low,1,6
Female,23,Engineering,54.05,46.98,96.09,59.57,65.80,0.41,67.46,59.82,D,11.60,No,Yes,N/A,Low,7,6
Male,22,Business,95.71,67.41,74.88,54.01,61.18,1.39,60.83,60.62,A,25.10,Yes,No,N/A,High,7,8
Male,21,CS,74.54,99.06,57.24,83.61,98.48,2.72,64.71,62.84,D,29.80,No,Yes,Master's,High,3,9
Female,23,Engineering,72.40,70.88,82.29,65.85,90.13,8.82,64.38,72.97,F,16.60,Yes,No,Bachelor's,Medium,3,9
Male,20,Engineering,98.67,84.51,62.50,61.47,81.53,8.56,98.80,74.72,A,10.70,No,Yes,Master's,Low,10,7
